grid_idx,격자100m,위도,경도
0,다마847996,36.19386884,127.3303794
1,다마848992,36.19026416,127.3314994
2,다마848996,36.19387041,127.3314917
3,다마848997,36.19477197,127.3314898
4,다마848998,36.19567353,127.3314878
5,다마849985,36.18395479,127.3326251
6,다마849986,36.18485635,127.3326231
7,다마849987,36.18575791,127.3326212
8,다마849988,36.18665948,127.3326193
9,다마849989,36.18756104,127.3326174
10,다마849990,36.1884626,127.3326155
11,다마849991,36.18936416,127.3326136
12,다마849992,36.19026572,127.3326116
13,다마849993,36.19116729,127.3326097
14,다마849994,36.19206885,127.3326078
15,다마849995,36.19297041,127.3326059
16,다마849996,36.19387197,127.332604
17,다마849997,36.19477353,127.332602
18,다마849998,36.19567509,127.3326001
19,다마849999,36.19657665,127.3325982
20,다마850985,36.18395634,127.3337372
21,다마850986,36.1848579,127.3337353
22,다마850987,36.18575946,127.3337334
23,다마850988,36.18666103,127.3337315
24,다마850989,36.18756259,127.3337296
25,다마850990,36.18846415,127.3337277
26,다마850991,36.18936571,127.3337258
27,다마850992,36.19026727,127.3337238
28,다마850993,36.19116884,127.3337219
29,다마850994,36.1920704,127.33372
30,다마850995,36.19297196,127.3337181
31,다마850996,36.19387352,127.3337162
32,다마850997,36.19477508,127.3337143
33,다마850998,36.19567664,127.3337124
34,다마850999,36.1965782,127.3337105
35,다마851985,36.18395788,127.3348493
36,다마851986,36.18485944,127.3348474
37,다마851987,36.185761,127.3348455
38,다마851988,36.18666257,127.3348436
39,다마851989,36.18756413,127.3348417
40,다마851990,36.18846569,127.3348398
41,다마851991,36.18936725,127.334838
42,다마851992,36.19026881,127.3348361
43,다마851993,36.19117038,127.3348342
44,다마851994,36.19207194,127.3348323
45,다마851995,36.1929735,127.3348304
46,다마851996,36.19387506,127.3348285
47,다마851997,36.19477662,127.3348266
48,다마851998,36.19567818,127.3348247
49,다마851999,36.19657974,127.3348228
50,다마852986,36.18486097,127.3359595
51,다마852987,36.18576253,127.3359577
52,다마852988,36.18666409,127.3359558
53,다마852989,36.18756566,127.3359539
54,다마852990,36.18846722,127.335952
55,다마852991,36.18936878,127.3359501
56,다마852992,36.19027034,127.3359483
57,다마852993,36.19117191,127.3359464
58,다마852994,36.19207347,127.3359445
59,다마852995,36.19297503,127.3359426
60,다마852996,36.19387659,127.3359407
61,다마852997,36.19477815,127.3359389
62,다마852998,36.19567971,127.335937
63,다마852999,36.19658127,127.3359351
64,다마853987,36.18576405,127.3370698
65,다마853988,36.18666561,127.3370679
66,다마853989,36.18756718,127.3370661
67,다마853990,36.18846874,127.3370642
68,다마853991,36.1893703,127.3370623
69,다마853992,36.19027186,127.3370605
70,다마853993,36.19117342,127.3370586
71,다마853994,36.19207499,127.3370567
72,다마853995,36.19297655,127.3370549
73,다마853996,36.19387811,127.337053
74,다마853997,36.19477967,127.3370511
75,다마853998,36.19568123,127.3370493
76,다마853999,36.19658279,127.3370474
77,다마854991,36.18937181,127.3381745
78,다마854992,36.19027337,127.3381727
79,다마854993,36.19117493,127.3381708
80,다마854994,36.1920765,127.338169
81,다마854995,36.19297806,127.3381671
82,다마854996,36.19387962,127.3381653
83,다마854997,36.19478118,127.3381634
84,다마854998,36.19568274,127.3381616
85,다마854999,36.1965843,127.3381597
86,다마855991,36.18937331,127.3392867
87,다마855992,36.19027487,127.3392849
88,다마855993,36.19117643,127.3392831
89,다마855994,36.19207799,127.3392812
90,다마855995,36.19297956,127.3392794
91,다마855996,36.19388112,127.3392775
92,다마855997,36.19478268,127.3392757
93,다마855998,36.19568424,127.3392738
94,다마855999,36.1965858,127.339272
95,다마856991,36.1893748,127.3403989
96,다마856992,36.19027636,127.3403971
97,다마856993,36.19117792,127.3403953
98,다마856994,36.19207948,127.3403935
99,다마856995,36.19298104,127.3403916
100,다마856996,36.19388261,127.3403898
101,다마856997,36.19478417,127.340388
102,다마856998,36.19568573,127.3403861
103,다마856999,36.19658729,127.3403843
104,다마857993,36.1911794,127.3415075
105,다마857994,36.19208096,127.3415057
106,다마857995,36.19298252,127.3415039
107,다마857996,36.19388408,127.3415021
108,다마857997,36.19478565,127.3415002
109,다마857998,36.19568721,127.3414984
110,다마857999,36.19658877,127.3414966
111,다마858996,36.19388555,127.3426143
112,다마858997,36.19478711,127.3426125
113,다마858998,36.19568867,127.3426107
114,다마858999,36.19659024,127.3426089
115,다마859997,36.19478857,127.3437248
116,다마859998,36.19569013,127.343723
117,다마859999,36.19659169,127.3437212
118,다바802055,36.24697917,127.280179
119,다바802059,36.25058537,127.2801689
120,다바802060,36.25148692,127.2801664
121,다바802061,36.25238847,127.2801638
122,다바802062,36.25329002,127.2801613
123,다바803051,36.243375,127.281302
124,다바803052,36.24427656,127.2812995
125,다바803053,36.24517811,127.281297
126,다바803054,36.24607966,127.2812945
127,다바803055,36.24698121,127.281292
128,다바803056,36.24788276,127.2812895
129,다바803057,36.24878431,127.281287
130,다바803058,36.24968586,127.2812845
131,다바803059,36.25058741,127.281282
132,다바803060,36.25148896,127.2812794
133,다바803061,36.25239051,127.2812769
134,다바803062,36.25329206,127.2812744
135,다바803063,36.25419361,127.2812719
136,다바804043,36.23616462,127.282435
137,다바804047,36.23977083,127.282425
138,다바804048,36.24067238,127.2824225
139,다바804049,36.24157393,127.28242
140,다바804050,36.24247548,127.2824175
141,다바804051,36.24337703,127.282415
142,다바804052,36.24427858,127.2824125
143,다바804053,36.24518014,127.28241
144,다바804054,36.24608169,127.2824075
145,다바804055,36.24698324,127.282405
146,다바804056,36.24788479,127.2824025
147,다바804057,36.24878634,127.2824
148,다바804058,36.24968789,127.2823975
149,다바804059,36.25058944,127.282395
150,다바804060,36.25149099,127.2823925
151,다바804061,36.25239254,127.28239
152,다바804062,36.25329409,127.2823875
153,다바804063,36.25419564,127.282385
154,다바804064,36.25509719,127.2823825
155,다바804066,36.25690029,127.2823775
156,다바804067,36.25780184,127.282375
157,다바805042,36.23526509,127.2835503
158,다바805043,36.23616664,127.2835479
159,다바805044,36.23706819,127.2835454
160,다바805045,36.23796974,127.2835429
161,다바805046,36.23887129,127.2835404
162,다바805047,36.23977285,127.2835379
163,다바805048,36.2406744,127.2835354
164,다바805049,36.24157595,127.2835329
165,다바805050,36.2424775,127.2835305
166,다바805051,36.24337905,127.283528
167,다바805052,36.2442806,127.2835255
168,다바805053,36.24518215,127.283523
169,다바805054,36.24608371,127.2835205
170,다바805055,36.24698526,127.283518
171,다바805056,36.24788681,127.2835155
172,다바805057,36.24878836,127.283513
173,다바805058,36.24968991,127.2835106
174,다바805059,36.25059146,127.2835081
175,다바805060,36.25149301,127.2835056
176,다바805061,36.25239456,127.2835031
177,다바805062,36.25329611,127.2835006
178,다바805063,36.25419766,127.2834981
179,다바805064,36.25509921,127.2834956
180,다바805065,36.25600076,127.2834932
181,다바805066,36.25690231,127.2834907
182,다바805067,36.25780386,127.2834882
183,다바805068,36.2587054,127.2834857
184,다바806042,36.23526709,127.2846632
185,다바806043,36.23616865,127.2846607
186,다바806044,36.2370702,127.2846582
187,다바806045,36.23797175,127.2846558
188,다바806046,36.2388733,127.2846533
189,다바806047,36.23977485,127.2846508
190,다바806048,36.24067641,127.2846483
191,다바806049,36.24157796,127.2846459
192,다바806050,36.24247951,127.2846434
193,다바806051,36.24338106,127.2846409
194,다바806052,36.24428261,127.2846385
195,다바806053,36.24518416,127.284636
196,다바806054,36.24608571,127.2846335
197,다바806055,36.24698727,127.284631
198,다바806056,36.24788882,127.2846286
199,다바806057,36.24879037,127.2846261
200,다바806058,36.24969192,127.2846236
201,다바806059,36.25059347,127.2846211
202,다바806060,36.25149502,127.2846187
203,다바806061,36.25239657,127.2846162
204,다바806062,36.25329812,127.2846137
205,다바806063,36.25419967,127.2846112
206,다바806064,36.25510122,127.2846088
207,다바806065,36.25600277,127.2846063
208,다바806066,36.25690432,127.2846038
209,다바806067,36.25780586,127.2846013
210,다바806068,36.25870741,127.2845989
211,다바806069,36.25960896,127.2845964
212,다바807042,36.23526909,127.285776
213,다바807043,36.23617064,127.2857736
214,다바807044,36.2370722,127.2857711
215,다바807045,36.23797375,127.2857686
216,다바807046,36.2388753,127.2857662
217,다바807047,36.23977685,127.2857637
218,다바807048,36.2406784,127.2857613
219,다바807049,36.24157996,127.2857588
220,다바807050,36.24248151,127.2857563
221,다바807051,36.24338306,127.2857539
222,다바807052,36.24428461,127.2857514
223,다바807053,36.24518616,127.285749
224,다바807054,36.24608771,127.2857465
225,다바807055,36.24698926,127.285744
226,다바807056,36.24789081,127.2857416
227,다바807057,36.24879237,127.2857391
228,다바807058,36.24969392,127.2857367
229,다바807059,36.25059547,127.2857342
230,다바807060,36.25149702,127.2857317
231,다바807061,36.25239857,127.2857293
232,다바807062,36.25330012,127.2857268
233,다바807063,36.25420167,127.2857244
234,다바807064,36.25510322,127.2857219
235,다바807065,36.25600477,127.2857194
236,다바807066,36.25690631,127.285717
237,다바807067,36.25780786,127.2857145
238,다바807068,36.25870941,127.285712
239,다바807069,36.25961096,127.2857096
240,다바808042,36.23527108,127.2868889
241,다바808043,36.23617263,127.2868864
242,다바808044,36.23707418,127.286884
243,다바808045,36.23797574,127.2868815
244,다바808046,36.23887729,127.2868791
245,다바808047,36.23977884,127.2868766
246,다바808048,36.24068039,127.2868742
247,다바808049,36.24158194,127.2868717
248,다바808050,36.2424835,127.2868693
249,다바808051,36.24338505,127.2868668
250,다바808052,36.2442866,127.2868644
251,다바808053,36.24518815,127.286862
252,다바808054,36.2460897,127.2868595
253,다바808055,36.24699125,127.2868571
254,다바808056,36.2478928,127.2868546
255,다바808057,36.24879435,127.2868522
256,다바808058,36.2496959,127.2868497
257,다바808059,36.25059745,127.2868473
258,다바808060,36.251499,127.2868448
259,다바808061,36.25240056,127.2868424
260,다바808062,36.25330211,127.2868399
261,다바808063,36.25420365,127.2868375
262,다바808064,36.2551052,127.286835
263,다바808065,36.25600675,127.2868326
264,다바808066,36.2569083,127.2868301
265,다바808067,36.25780985,127.2868277
266,다바808068,36.2587114,127.2868252
267,다바808069,36.25961295,127.2868228
268,다바808070,36.2605145,127.2868203
269,다바809040,36.23346995,127.2880066
270,다바809041,36.2343715,127.2880042
271,다바809042,36.23527306,127.2880017
272,다바809043,36.23617461,127.2879993
273,다바809044,36.23707616,127.2879968
274,다바809045,36.23797771,127.2879944
275,다바809046,36.23887927,127.287992
276,다바809047,36.23978082,127.2879895
277,다바809048,36.24068237,127.2879871
278,다바809049,36.24158392,127.2879847
279,다바809050,36.24248547,127.2879822
280,다바809051,36.24338702,127.2879798
281,다바809052,36.24428858,127.2879774
282,다바809053,36.24519013,127.2879749
283,다바809054,36.24609168,127.2879725
284,다바809055,36.24699323,127.2879701
285,다바809056,36.24789478,127.2879676
286,다바809057,36.24879633,127.2879652
287,다바809058,36.24969788,127.2879628
288,다바809059,36.25059943,127.2879603
289,다바809060,36.25150098,127.2879579
290,다바809061,36.25240253,127.2879555
291,다바809062,36.25330408,127.287953
292,다바809063,36.25420563,127.2879506
293,다바809064,36.25510718,127.2879481
294,다바809065,36.25600873,127.2879457
295,다바809066,36.25691028,127.2879433
296,다바809067,36.25781183,127.2879408
297,다바809068,36.25871338,127.2879384
298,다바809069,36.25961493,127.287936
299,다바809070,36.26051648,127.2879335
300,다바809071,36.26141803,127.2879311
301,다바810039,36.23257036,127.2891218
302,다바810040,36.23347192,127.2891194
303,다바810041,36.23437347,127.289117
304,다바810042,36.23527502,127.2891146
305,다바810043,36.23617658,127.2891121
306,다바810044,36.23707813,127.2891097
307,다바810045,36.23797968,127.2891073
308,다바810046,36.23888123,127.2891049
309,다바810047,36.23978278,127.2891025
310,다바810048,36.24068434,127.2891
311,다바810049,36.24158589,127.2890976
312,다바810050,36.24248744,127.2890952
313,다바810051,36.24338899,127.2890928
314,다바810052,36.24429054,127.2890903
315,다바810053,36.24519209,127.2890879
316,다바810054,36.24609365,127.2890855
317,다바810055,36.2469952,127.2890831
318,다바810056,36.24789675,127.2890807
319,다바810057,36.2487983,127.2890782
320,다바810058,36.24969985,127.2890758
321,다바810059,36.2506014,127.2890734
322,다바810060,36.25150295,127.289071
323,다바810061,36.2524045,127.2890685
324,다바810062,36.25330605,127.2890661
325,다바810063,36.2542076,127.2890637
326,다바810064,36.25510915,127.2890613
327,다바810065,36.2560107,127.2890588
328,다바810066,36.25691225,127.2890564
329,다바810067,36.2578138,127.289054
330,다바810068,36.25871535,127.2890516
331,다바810069,36.2596169,127.2890492
332,다바810070,36.26051845,127.2890467
333,다바810071,36.26142,127.2890443
334,다바811038,36.23167077,127.290237
335,다바811039,36.23257232,127.2902346
336,다바811040,36.23347387,127.2902322
