격자순번,격자100m,위도,경도,실제값,예측값,시계열예측값
1,다마847996,36.19386884,127.3303794,0,0,0.00065559
2,다마848992,36.19026416,127.3314994,0,0,0.8656264
3,다마848996,36.19387041,127.3314917,0,0,0.24465725
4,다마848997,36.19477197,127.3314898,0,0,0.8654124
5,다마848998,36.19567353,127.3314878,0,0,0.00065559
6,다마849985,36.18395479,127.3326251,0,0,0.00065559
7,다마849986,36.18485635,127.3326231,0,0,0.00065559
8,다마849987,36.18575791,127.3326212,0,0,0.00065559
9,다마849988,36.18665948,127.3326193,0,0,0.00065559
10,다마849989,36.18756104,127.3326174,0,0,0.00065559
11,다마849990,36.1884626,127.3326155,0,0,0.00065559
12,다마849991,36.18936416,127.3326136,0,0,0.00065559
13,다마849992,36.19026572,127.3326116,0,0,0.8217513
14,다마849993,36.19116729,127.3326097,0,0,0.8412115
15,다마849994,36.19206885,127.3326078,0,0,0.85291123
16,다마849995,36.19297041,127.3326059,1,0,0.8649137
17,다마849996,36.19387197,127.332604,0,0,0.00065559
18,다마849997,36.19477353,127.332602,0,0,0.00065559
19,다마849998,36.19567509,127.3326001,0,0,0.00065559
20,다마849999,36.19657665,127.3325982,0,0,0.00065559
21,다마850985,36.18395634,127.3337372,0,0,0.00065559
22,다마850986,36.1848579,127.3337353,0,0,0.00065559
23,다마850987,36.18575946,127.3337334,0,0,0.00065559
24,다마850988,36.18666103,127.3337315,0,0,0.00065559
25,다마850989,36.18756259,127.3337296,0,0,0.00065559
26,다마850990,36.18846415,127.3337277,0,0,0.6860233
27,다마850991,36.18936571,127.3337258,0,0,0.81375957
28,다마850992,36.19026727,127.3337238,0,0,0.78126544
29,다마850993,36.19116884,127.3337219,0,0,0.00065559
30,다마850994,36.1920704,127.33372,0,0,0.69572085
31,다마850995,36.19297196,127.3337181,0,0,0.8634486
32,다마850996,36.19387352,127.3337162,0,0,0.8648579
33,다마850997,36.19477508,127.3337143,0,0,0.864628
34,다마850998,36.19567664,127.3337124,0,0,0.19250245
35,다마850999,36.1965782,127.3337105,0,0,0.86538386
36,다마851985,36.18395788,127.3348493,0,0,0.00065559
37,다마851986,36.18485944,127.3348474,0,0,0.00065559
38,다마851987,36.185761,127.3348455,0,0,0.8644622
39,다마851988,36.18666257,127.3348436,0,0,0.00065559
40,다마851989,36.18756413,127.3348417,0,0,0.00065559
41,다마851990,36.18846569,127.3348398,0,0,0.00065559
42,다마851991,36.18936725,127.334838,0,0,0.00065559
43,다마851992,36.19026881,127.3348361,0,0,0.00065559
44,다마851993,36.19117038,127.3348342,0,0,0.00065559
45,다마851994,36.19207194,127.3348323,0,0,0.00065559
46,다마851995,36.1929735,127.3348304,0,0,0.00065559
47,다마851996,36.19387506,127.3348285,0,0,0.00065559
48,다마851997,36.19477662,127.3348266,0,0,0.8656072
49,다마851998,36.19567818,127.3348247,0,0,0.8602515
50,다마851999,36.19657974,127.3348228,0,0,0.00065559
51,다마852986,36.18486097,127.3359595,0,0,0.00065559
52,다마852987,36.18576253,127.3359577,0,0,0.00065559
53,다마852988,36.18666409,127.3359558,0,0,0.00065559
54,다마852989,36.18756566,127.3359539,0,0,0.00065559
55,다마852990,36.18846722,127.335952,0,0,0.8656912
56,다마852991,36.18936878,127.3359501,0,0,0.00065559
57,다마852992,36.19027034,127.3359483,0,0,0.00065559
58,다마852993,36.19117191,127.3359464,0,0,0.00065559
59,다마852994,36.19207347,127.3359445,0,0,0.00065559
60,다마852995,36.19297503,127.3359426,0,0,0.00065559
